id,Message,Frequency (high or low),Positivity (pos or neg),"Game (generic, rhythm)",Dependency
0,pog,high,pos,generic,
1,this guy VRB_DESCRIPTIVE-,low,neg,generic,
2,how does he stay on beat?,low,pos,rhythm,
3,ur ADJ_DESCRIPTIVE+,low,pos,generic,
4,pepega,high,neg,generic,
5,sadge,high,neg,generic,
6,oof,high,neg,generic,
7,sheeesh,high,pos,generic,
8,dope,high,pos,generic,
9,epic,high,pos,generic,
10,xD,high,neg,generic,
11,fail,high,neg,generic,
12,this is just stupid guitar hero,low,neg,rhythm,
13,sheesh,high,pos,generic,
14,sheeeesh,high,pos,generic,
15,my dog could play better,low,neg,generic,
16,bet he doesnt even know joe,low,neg,generic,
17,dont quit ur day job,low,neg,generic,
18,my man got the office drip xD,low,neg,generic,
19,f outta here w the old navy ass fit,low,neg,generic,
20,id unfollow if i ever had,low,neg,generic,
21,how do u unfollow,low,neg,generic,
22,noob,high,neg,generic,
23,this a banger,low,pos,rhythm,
24,inb4 he ragequits,low,neg,generic,
25,this song VRB_DESCRIPTIVE+,low,pos,rhythm,
26,this song VRB_DESCRIPTIVE-,low,neg,rhythm,
27,this guy VRB_DESCRIPTIVE+,low,pos,generic,
28,ur ADJ_DESCRIPTIVE-,low,neg,generic,
29,he plays ADV_MANNER+,low,pos,generic,
30,he plays ADV_MANNER-,low,neg,generic,
31,id rather just listen to the song,low,neg,rhythm,
32,who else at work rn?,low,pos,generic,
33,i hate my boss,low,pos,generic,
34,ADJ_DESCRIPTIVE+ streamer go brr,low,pos,generic,
35,wombo combo,low,pos,rhythm,
36,ayy,high,pos,generic,
37,ayyy,high,pos,generic,
38,ayyyy,high,pos,generic,
39,ayee,high,pos,generic,
40,ayeee,high,pos,generic,
41,poggers,high,pos,generic,
42,pogchamp,high,pos,generic,
43,oh shit,low,pos,generic,
44,ez,high,pos,generic,
45,ez dub,high,pos,generic,
46,:0,high,pos,generic,
47,o7,high,neg,generic,
48,lucky,low,pos,generic,
49,whats this game called,low,pos,generic,
50,is this game hard,low,neg,generic,
51,what is this game,low,pos,generic,
52,was that supposed to happen,low,neg,generic,
53,never heard of this game b4,low,neg,generic,
54,r u a musician,low,pos,rhythm,
55,do u play music,low,pos,rhythm,
56,do u play any instruments,low,pos,rhythm,
57,is he a musician,low,pos,rhythm,
58,does he play music,low,pos,rhythm,
59,does he play any instruments,low,pos,rhythm,
60,f,high,neg,generic,
61,why he wearing that,low,neg,generic,
62,why u dressed like customer service,low,neg,generic,
63,go crazy,low,pos,generic,
64,go stupid,low,pos,generic,
65,cant look away,low,pos,generic,
66,hes ADJ_DESCRIPTIVE+,low,pos,generic,
67,hes ADJ_DESCRIPTIVE-,low,neg,generic,
68,dont stop,low,pos,generic,
69,hes on fire,low,pos,generic,
70,fuego,low,pos,generic,
71,who is this guy,low,neg,generic,
72,go off,low,pos,generic,
73,hes poppin off,low,pos,generic,
74,oh shit,high,pos,generic,
75,damn,high,pos,generic,
76,daamn,high,pos,generic,
77,daaamn,high,pos,generic,
78,LOL,high,neg,generic,
79,lol,high,neg,generic,
80,lolll,high,neg,generic,
81,lolllll,high,neg,generic,
82,LMAO,high,neg,generic,
83,lmao,high,neg,generic,
84,lmaoo,high,neg,generic,
85,lmaooo,high,neg,generic,
86,fortnites better,low,neg,generic,
87,so zen,low,pos,generic,
88,this is oddly calming,low,pos,generic,
89,turn it off,low,neg,generic,
90,just call it quits,low,neg,generic,
91,just followed,low,pos,generic,
92,ADJ_DESCRIPTIVE+,low,pos,generic,
93,ADJ_DESCRIPTIVE-,low,neg,generic,
94,raid incoming,low,pos,generic,
95,godlike,high,pos,generic,
96,i wish i was this good,low,pos,generic,
97,whos this by,low,pos,rhythm,
98,hes ruining a good song,low,neg,rhythm,
99,this is embarrassing,low,neg,generic,
100,kek,high,neg,generic,
101,this yall goat,low,neg,generic,
102,ok big guy,low,pos,generic,
103,op,high,pos,generic,
104,im impressed,low,pos,generic,
105,impressive,low,pos,generic,
106,why havent i watched this guy before,low,pos,generic,
107,whered this guy come from,low,pos,generic,
108,where have u been all my life,low,pos,generic,
109,i love this game,low,pos,generic,
110,i love bosu,low,pos,generic,
111,bosu is the ADJ_SUPERLATIVE+!,low,pos,rhythm,
112,bosu is the ADJ_SUPERLATIVE-,low,neg,rhythm,
113,this guys the ADJ_SUPERLATIVE+,low,pos,generic,
114,this guys the ADJ_SUPERLATIVE-,low,neg,generic,
115,sko,high,pos,generic,
116,skooo,high,pos,generic,
117,skooooo,high,pos,generic,
118,esketit,high,pos,generic,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,gaaaas,high,pos,generic,
201,unsub,high,neg,generic,
202,why are you streaming???,low,neg,generic,
203,how??? is he so good???,low,pos,generic,
204,AYOOOO LETS GOOOO,low,pos,generic,
205,damn I wish I could play like that,low,pos,generic,
206,AYOOO,high,pos,generic,
207,my grandma can do better,low,neg,generic,
208,this is sad to watch,low,neg,generic,
209,dude why are you streaming?,low,neg,generic,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,[Comment removed by moderator],high,neg,generic,moderator
401,dude are you playing at work?,low,pos,generic,
402,KITTY,low,pos,generic,cat
403,holy crapCOMMA your crushing it!,low,pos,generic,
404,nice!,high,pos,generic,
405,looking good!,low,pos,generic,
406,OMG,high,pos,generic,
407,damn!,low,pos,generic,
408,how is he this good,low,pos,generic,
409,yeah!,low,pos,generic,
410,right on!,low,pos,generic,
411,awesome!,low,pos,generic,
412,you got this!,low,pos,generic,
413,why am I watching this,low,neg,generic,
414,stop playing at work and do your damn jobCOMMA loser,low,neg,generic,
415,I hope your boss catches you,low,neg,generic,
416,godCOMMA you SUCK at this,low,neg,generic,
417,This is painful to watch...,low,neg,generic,
418,How can anyone stand watching this guy?!,low,neg,generic,
419,That cat is judging you for how bad you are at this game.,low,neg,generic,cat
420,u suk,high,neg,generic,
421,you suck,high,neg,generic,
422,trash,high,neg,generic,
423,get a life,low,neg,generic,
424,stop streaming,low,neg,generic,
425,*barf*,low,neg,generic,
426,ur gonna lose,low,neg,generic,
427,lose already,low,neg,generic,
428,ur bad at this,low,neg,generic,
429,awesome beat,low,pos,rhythm,
430,feel the rhythm!,low,pos,rhythm,
431,dude's got no sense of rhythm,low,neg,rhythm,
432,how do I spell rythem,low,neg,rhythm,
433,bad,high,neg,generic,
434,awful,high,neg,generic,
435,oh god my ears,low,neg,rhythm,
436,im so bored,low,neg,generic,
437,"Hey, I remember playing this as a kid!",low,pos,generic,
438,Never really saw this game's appeal untiil now.,low,pos,generic,
439,your crushing it!,low,pos,generic,
440,gg,high,pos,generic,
441,wow!,high,pos,generic,
442,whoa,high,pos,generic,
443,holy crap your such TRASH at this,low,neg,generic,
444,That cat's hairballs could probably outplay you,low,neg,generic,cat
445,"get back to work dumbass, you suck too much 4 this",low,neg,generic,
446,yikes,high,neg,generic,
447,wow,high,neg,generic,
448,ew,high,neg,generic,
449,I used to play this game all the time as a kid! Now I'm getting nostalgic for it again.,low,pos,rhythm,
450,arrows ftw,high,pos,rhythm,
451,ur so bad at this,low,neg,rhythm,
452,fml,high,neg,rhythm,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,,,,,
509,,,,,
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,
515,,,,,
516,,,,,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,,,,,
553,,,,,
554,,,,,
555,,,,,
556,,,,,
557,,,,,
558,,,,,
559,,,,,
560,,,,,
561,,,,,
562,,,,,
563,,,,,
564,,,,,
565,,,,,
566,,,,,
567,,,,,
568,,,,,
569,,,,,
570,,,,,
571,,,,,
572,,,,,
573,,,,,
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,,,,,
582,,,,,
583,,,,,
584,,,,,
585,,,,,
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,,,,,
599,,,,,